Component,Unitmass,Material,Class
Motor,950.0,Steel,Pleziervaartuigen
Motor,500.0,Steel,Pleziervaartuigen
Motor,450.0,Steel,Pleziervaartuigen
Romp,6650.0,Steel,Pleziervaartuigen
Romp,3750.0,Polyester,Pleziervaartuigen
Romp,3600.0,Wood,Pleziervaartuigen
Overig,1900.0,Unknown,Pleziervaartuigen
Overig,750.0,Unknown,Pleziervaartuigen
Overig,450.0,Unknown,Pleziervaartuigen
