Component,Unitmass,Material,Class
Motor,200.0,Steel,Pleziervaartuigen
Motor,200.0,Steel,Pleziervaartuigen
Romp,850.0,Polyester,Pleziervaartuigen
Romp,850.0,Wood,Pleziervaartuigen
Overig,100.0,Unknown,Pleziervaartuigen
Overig,100.0,Unknown,Pleziervaartuigen
