Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Non-ferrous metals,"Al, no specification",kg,Block and other,1.688986026,icemotor,Aluminium,Utilitycars,1.228,0.0009970401571
Non-ferrous metals,"Al, rolled, stamped",kg,Block and other,2.338172838,icemotor,Aluminium,Utilitycars,1.7,0.001380267319
Ferrous metals,"Fe, cast",kg,Block and other,0.2090601596,icemotor,Iron,Utilitycars,0.152,0.0001234121367
Ferrous metals,"Fe, cast, machined",kg,Block and other,39.38858454,icemotor,Iron,Utilitycars,28.638,0.02325182086
Ferrous metals,"Fe, forged, machined",kg,Block and other,19.70804623,icemotor,Iron,Utilitycars,14.329,0.01163402965
Ferrous metals,"Steel, cast, heat treat",kg,Block and other,1.281868873,icemotor,Steel,Utilitycars,0.932,0.0007567112593
Ferrous metals,"Steel, cast, machined",kg,Block and other,10.45300798,icemotor,Steel,Utilitycars,7.6,0.006170606836
Ferrous metals,"Steel, col rolled, stamped",kg,Block and other,5.914201883,icemotor,Steel,Utilitycars,4.3,0.003491264394
Ferrous metals,"Steel, cold rolled",kg,Block and other,0.5047702538,icemotor,Steel,Utilitycars,0.367,0.0002979753564
Ferrous metals,"Steel, extruded",kg,Block and other,3.267940389,icemotor,Steel,Utilitycars,2.376,0.001929126558
Ferrous metals,"Steel, galvanized, stamped",kg,Block and other,3.713568624,icemotor,Steel,Utilitycars,2.7,0.002192189271
Ferrous metals,"Steel, no specification",kg,Block and other,7.066783553,icemotor,Steel,Utilitycars,5.138,0.00417165499
Ferrous metals,"Steel, other",kg,Block and other,3.713568624,icemotor,Steel,Utilitycars,2.7,0.002192189271
Polymers,"Plastic, injection molded",kg,Block and other,1.650474944,icemotor,Plastic,Utilitycars,1.2,0.0009743063425
Polymers,"Rubber, injection molded",kg,Block and other,0.1375395787,icemotor,Rubber,Utilitycars,0.1,0.00008119219521
Polymers,"Rubber, no specification",kg,Block and other,0.7439639596,icemotor,Rubber,Utilitycars,0.540909,0.0004391758912
Polymers,"Rubber, other",kg,Block and other,0.1375395787,icemotor,Rubber,Utilitycars,0.1,0.00008119219521
Other,"Other, other",kg,Block and other,0.8252374721,icemotor,Plastic,Utilitycars,0.6,0.0004871531712
Other,Paint,kg,Paint/Paint shop,16.2205949,interior,Paint,Utilitycars,11.79340162,0.009575321665
Polymers,"Polypropylene, 25% Fiberglass (PP-GF25)",kg,Under body finisher,1.191092751,interior,Polypropylene,Utilitycars,0.866,0.0007031244105
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Bumper covers (4),0.6601899777,interior,Polypropylene,Utilitycars,0.48,0.000389722537
Polymers,Polypropylene (PP),kg,Wheel arc closures (4),5.270516655,interior,Polypropylene,Utilitycars,3.832,0.00311128492
Polymers,"Nylon 66, 30% Mineral powder (PA66-MD30)",kg,Road wheel finishers (4),0.225564909,interior,Nylon,Utilitycars,0.164,0.0001331552001
Polymers,Ethylene propylene diene monomer (EPDM-TD10),kg,Bumpers (2),6.973256639,interior,EPDM,Utilitycars,5.07,0.004116444297
Polymers,Polypropylene (PP),kg,Bumpers (2),6.973256639,interior,Polypropylene,Utilitycars,5.07,0.004116444297
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Rear lamps (2),1.244733187,interior,ABS,Utilitycars,0.905,0.0007347893666
Polymers,Polymethyl methacrylate (PMMA),kg,Rear lamps (2),1.244733187,interior,Polymethylmethacrylate,Utilitycars,0.905,0.0007347893666
Polymers,Acrylonitrile styrene acrylate (ASA),kg,Radiator Grille,0.3796092372,interior,ASA,Utilitycars,0.276,0.0002240904588
Ferous metals,Steel (GREET),kg,"Other, exterior trim (GREET data)",0.5901801067,interior,Steel,Utilitycars,0.429098382,0.0003483943959
Polymers,Rubber (GREET),kg,"Other, exterior trim (GREET data)",0.2058767813,interior,Rubber,Utilitycars,0.149685482,0.0001215329287
Polymers,Rubber (GREET),kg,Sealers/deadeners,1.237856208,interior,Rubber,Utilitycars,0.9,0.0007307297569
Non-ferrous metals,Copper,kg,Exterior electrical (GREET data),5.627298692,interior,Copper,Utilitycars,4.091403177,0.003321900054
Polymers,Other plastic (GREET),kg,Exterior electrical (GREET data),8.09782007,interior,Plastic,Utilitycars,5.887628963,0.004780295201
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Centre console,0.8032311395,interior,ABS,Utilitycars,0.584,0.00047416242
Polymers,Polypropylene ether (PE),kg,Dashboard,5.090339807,interior,Polypropylene,Utilitycars,3.701,0.003004923145
Polymers,Polystyrene (PS),kg,Dashboard,5.090339807,interior,Polystyrene,Utilitycars,3.701,0.003004923145
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Glove Box,2.937845401,interior,ABS,Utilitycars,2.136,0.00173426529
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Air Duct,0.3273441973,interior,Polypropylene,Utilitycars,0.238,0.0001932374246
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Steering Column Finisher,0.1237856208,interior,Polypropylene,Utilitycars,0.09,0.00007307297569
Ferous metals,Steel (GREET),kg,"Other, Instrument panel (GREET data)",15.20992706,interior,Steel,Utilitycars,11.05858198,0.008978705468
