Material Group,Material/Component,Unit,Component,Part,Material,Unitmass,Vehicle,Class,Hawkinsmass,Partmass
Non-ferrous metals,"Al, cast, machined",kg,Block and other,icemotor,Aluminium,17.01370515,icecar,Cars,18.693,0.01517725705
Non-ferrous metals,"Al, no specification",kg,Block and other,icemotor,Aluminium,1.117682016,icecar,Cars,1.228,0.0009970401571
Non-ferrous metals,"Al, rolled, stamped",kg,Block and other,icemotor,Aluminium,1.547279664,icecar,Cars,1.7,0.001380267319
Ferrous metals,"Fe, cast",kg,Block and other,icemotor,Iron,0.1383450053,icecar,Cars,0.152,0.0001234121367
Ferrous metals,"Fe, cast, machined",kg,Block and other,icemotor,Iron,26.06529119,icecar,Cars,28.638,0.02325182086
Ferrous metals,"Fe, forged, machined",kg,Block and other,icemotor,Iron,13.04174724,icecar,Cars,14.329,0.01163402965
Ferrous metals,"Steel, cast, heat treat",kg,Block and other,icemotor,Steel,0.8482733217,icecar,Cars,0.932,0.0007567112593
Ferrous metals,"Steel, cast, machined",kg,Block and other,icemotor,Steel,6.917250263,icecar,Cars,7.6,0.006170606836
Ferrous metals,"Steel, col rolled, stamped",kg,Block and other,icemotor,Steel,3.913707386,icecar,Cars,4.3,0.003491264394
Ferrous metals,"Steel, cold rolled",kg,Block and other,icemotor,Steel,0.3340303745,icecar,Cars,0.367,0.0002979753564
Ferrous metals,"Steel, extruded",kg,Block and other,icemotor,Steel,2.162550872,icecar,Cars,2.376,0.001929126558
Ferrous metals,"Steel, galvanized, stamped",kg,Block and other,icemotor,Steel,2.457444172,icecar,Cars,2.7,0.002192189271
Ferrous metals,"Steel, no specification",kg,Block and other,icemotor,Steel,4.676425243,icecar,Cars,5.138,0.00417165499
Ferrous metals,"Steel, other",kg,Block and other,icemotor,Steel,2.457444172,icecar,Cars,2.7,0.002192189271
Polymers,"Plastic, injection molded",kg,Block and other,icemotor,Plastic,1.09219741,icecar,Cars,1.2,0.0009743063425
Polymers,"Rubber, injection molded",kg,Block and other,icemotor,Rubber,0.09101645083,icecar,Cars,0.1,0.00008119219521
Polymers,"Rubber, no specification",kg,Block and other,icemotor,Rubber,0.492316174,icecar,Cars,0.540909,0.0004391758912
Polymers,"Rubber, other",kg,Block and other,icemotor,Rubber,0.09101645083,icecar,Cars,0.1,0.00008119219521
Other,"Other, other",kg,Block and other,icemotor,Plastic,0.546098705,icecar,Cars,0.6,0.0004871531712
Other,Paint,kg,Paint/Paint shop,interior,Paint,10.73393559,icecar,Cars,11.79340162,0.009575321665
Polymers,"Polypropylene, 25% Fiberglass (PP-GF25)",kg,Under body finisher,interior,Polypropylene,0.7882024642,icecar,Cars,0.866,0.0007031244105
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Bumper covers (4),interior,Polypropylene,0.436878964,icecar,Cars,0.48,0.000389722537
Polymers,Polypropylene (PP),kg,Wheel arc closures (4),interior,Polypropylene,3.487750396,icecar,Cars,3.832,0.00311128492
Polymers,"Nylon 66, 30% Mineral powder (PA66-MD30)",kg,Road wheel finishers (4),interior,Nylon,0.1492669794,icecar,Cars,0.164,0.0001331552001
Polymers,Ethylene propylene diene monomer (EPDM-TD10),kg,Bumpers (2),interior,EPDM,4.614534057,icecar,Cars,5.07,0.004116444297
Polymers,Polypropylene (PP),kg,Bumpers (2),interior,Polypropylene,4.614534057,icecar,Cars,5.07,0.004116444297
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Rear lamps (2),interior,ABS,0.82369888,icecar,Cars,0.905,0.0007347893666
Polymers,Polymethyl methacrylate (PMMA),kg,Rear lamps (2),interior,Polymethylmethacrylate,0.82369888,icecar,Cars,0.905,0.0007347893666
Polymers,Acrylonitrile styrene acrylate (ASA),kg,Radiator Grille,interior,ASA,0.2512054043,icecar,Cars,0.276,0.0002240904588
Ferous metals,Steel (GREET),kg,"Other, exterior trim (GREET data)",interior,Steel,0.3905501179,icecar,Cars,0.429098382,0.0003483943959
Polymers,Rubber (GREET),kg,"Other, exterior trim (GREET data)",interior,Rubber,0.1362384131,icecar,Cars,0.149685482,0.0001215329287
Polymers,Rubber (GREET),kg,Sealers/deadeners,interior,Rubber,0.8191480574,icecar,Cars,0.9,0.0007307297569
Non-ferrous metals,Copper,kg,Exterior electrical (GREET data),interior,Copper,3.723849961,icecar,Cars,4.091403177,0.003321900054
Polymers,Other plastic (GREET),kg,Exterior electrical (GREET data),interior,Plastic,5.35871092,icecar,Cars,5.887628963,0.004780295201
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Centre console,interior,ABS,0.5315360728,icecar,Cars,0.584,0.00047416242
Polymers,Polypropylene ether (PE),kg,Dashboard,interior,Polypropylene,3.368518845,icecar,Cars,3.701,0.003004923145
Polymers,Polystyrene (PS),kg,Dashboard,interior,Polystyrene,3.368518845,icecar,Cars,3.701,0.003004923145
Polymers,Acrylonitrile butadiene styrene (ABS),kg,Glove Box,interior,ABS,1.94411139,icecar,Cars,2.136,0.00173426529
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Air Duct,interior,Polypropylene,0.216619153,icecar,Cars,0.238,0.0001932374246
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Steering Column Finisher,interior,Polypropylene,0.08191480574,icecar,Cars,0.09,0.00007307297569
Ferous metals,Steel (GREET),kg,"Other, Instrument panel (GREET data)",interior,Steel,10.06512883,icecar,Cars,11.05858198,0.008978705468
Non-ferrous metals,Wrought Aluminium,kg,"Other, Instrument panel (GREET data)",interior,Aluminium,0.2188071484,icecar,Cars,0.240403956,0.0001951892492
Non-ferrous metals,Magnesium,kg,"Other, Instrument panel (GREET data)",interior,Magnesium,0.2188071484,icecar,Cars,0.240403956,0.0001951892492
Polymers,Rubber (GREET),kg,"Other, Instrument panel (GREET data)",interior,Rubber,0.2188071484,icecar,Cars,0.240403956,0.0001951892492
Polymers,Polypropylene ether (PE),kg,B post finishers (2),interior,Polypropylene,0.1975056983,icecar,Cars,0.217,0.0001761870636
Polymers,Polypropylene (PP),kg,B post finishers (2),interior,Polypropylene,0.1975056983,icecar,Cars,0.217,0.0001761870636
Polymers,Polypropylene ether (PE),kg,C post finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,C post finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Polymers,Polypropylene ether (PE),kg,Sill finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,Sill finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Polymers,Polypropylene ether (PE),kg,A post finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Polymers,Polypropylene (PP),kg,A post finishers (2),interior,Polypropylene,0.3686166258,icecar,Cars,0.405,0.0003288283906
Ferous metals,Steel (GREET),kg,"Other, Trim and Insulation (GREET data)",interior,Steel,5.967655342,icecar,Cars,6.556677708,0.005323510564
Non-ferrous metals,Wrought Aluminium,kg,"Other, Trim and Insulation (GREET data)",interior,Aluminium,0.02022934003,icecar,Cars,0.022226026,0.00001804579842
Polymers,Other plastic (GREET),kg,"Other, Trim and Insulation (GREET data)",interior,Plastic,10.98740543,icecar,Cars,12.07188956,0.009801432137
Polymers,Other plastic (GREET),kg,"Doors, including trunk lid, interior plastics etc.",interior,Plastic,10.9219741,icecar,Cars,12,0.009743063425
Polymers,Polyurethane (polyether type) (PUR-E),kg,Squab pads,interior,Polyurethane,3.184665614,icecar,Cars,3.499,0.00284091491
Polymers,Polyurethane (polyether type) (PUR-E),kg,Cushion pads,interior,Polyurethane,4.935822128,icecar,Cars,5.423,0.004403052746
Polymers,Polyethylene terephthalate (PET),kg,Seat Belts (2),interior,PET,0.3440421841,icecar,Cars,0.378,0.0003069064979
Polymers,Nylon 6 (PA6),kg,Height Controls (2),interior,Nylon,0.2421037592,icecar,Cars,0.266,0.0002159712393
Polymers,Polyurethane (polyether type) (PUR-E),kg,Head Rest Pads (4),interior,Polyurethane,0.4514415961,icecar,Cars,0.496,0.0004027132882
Ferous metals,Steel (GREET),kg,"Other, Seating and restraint (GREET data)",interior,Steel,31.60731187,icecar,Cars,34.72703185,0.02819563949
Polymers,Other plastic (GREET),kg,"Other, Seating and restraint (GREET data)",interior,Plastic,13.72997813,icecar,Cars,15.08516099,0.01224797336
Ferous metals,Rolled steel (MUSES),kg,HVAC (GREET),interior,Steel,5.643019951,icecar,Cars,6.2,0.005033916103
Ferous metals,EAF steel (MUSES),kg,HVAC (GREET),interior,Steel,0.09101645083,icecar,Cars,0.1,0.00008119219521
Ferous metals,Galvanized steel (MUSES),kg,HVAC (GREET),interior,Steel,4.823871894,icecar,Cars,5.3,0.004303186346
Ferous metals,Stainless steel (MUSES),kg,HVAC (GREET),interior,Steel,1.09219741,icecar,Cars,1.2,0.0009743063425
Non-ferrous metals,Cast Aluminium,kg,HVAC (GREET),interior,Aluminium,4.823871894,icecar,Cars,5.3,0.004303186346
