Vehicle,Material,Unitmass,Class
B767,Aluminium,70775.2,Aircraft
B767,Steel,12385.66,Aircraft
B767,Titanium,1769.38,Aircraft
B767,Composites,2654.07,Aircraft
B767,Other,884.69,Aircraft
