FlowId,EcoinventFlow,Partmass,Unit,Unitmass,Material,Class,MaterialGroup
[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",88800,kilogram,0.139,"Steel, low alloy",Transit,Ferrous metals
[G1028],"alkyd paint, white, without solvent, in 60% solution state_market for alkyd paint, white, without solvent, in 60% solution state[GLO]",12600,kilogram,0.020,Alkyd paint,Transit,Paint
[G3058],"aluminium, cast alloy_market for aluminium, cast alloy[GLO]",28800,kilogram,0.045,"Aluminium, cast alloy",Transit,Nonferrous metals
[G3952],"polyethylene, high density, granulate_market for polyethylene, high density, granulate[GLO]",155000,kilogram,0.242,"Polyethylene, high density",Transit,Polymers
[G5916],reinforcing steel_market for reinforcing steel[GLO],234000,kilogram,0.366,"Steel, reinforcing",Transit,Ferrous metals
[G5949],copper_market for copper[GLO],34400,kilogram,0.054,Copper,Transit,Nonferrous metals
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",61200,kilogram,0.096,"Aluminium, wrought alloy",Transit,Nonferrous metals
[G12509],"flat glass, coated_market for flat glass, coated[GLO]",25000,kilogram,0.039,Glass,Transit,Glass
