Component,Unitmass,Material,Class
Motor,350.0,Steel,Pleziervaartuigen
Motor,500.0,Steel,Pleziervaartuigen
Motor,500.0,Steel,Pleziervaartuigen
Romp,5250.0,Steel,Pleziervaartuigen
Romp,3500.0,Polyester,Pleziervaartuigen
Romp,4000.0,Wood,Pleziervaartuigen
Overig,1400.0,Unknown,Pleziervaartuigen
Overig,1000.0,Unknown,Pleziervaartuigen
Overig,500.0,Unknown,Pleziervaartuigen
