Flowid,Ecoinvent Flow,Partmass,Unit,Part,Material,Unitmass
[G3102],"polyethylene, low density, granulate_market for polyethylene, low density, granulate[GLO]",0.00255,kilogram,Inverter,Polyethylene,0.04097331228
[G4640],brass_market for brass[CH],0.000172,kilogram,Inverter,Brass,0.002763690083
[G5605],aluminium oxide_market for aluminium oxide[GLO],0.00298,kilogram,Inverter,Aluminium,0.04788253749
[G5735],"resistor, auxilliaries and energy use_market for resistor, auxilliaries and energy use[GLO]",0.00295,kilogram,Inverter,,
[G5949],copper_market for copper[GLO],0.153,kilogram,Inverter,Copper,2.458398737
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",0.664,kilogram,Inverter,Aluminium,10.66912916
[G9542],silicone product_market for silicone product[GLO],0.000425,kilogram,Inverter,Silicone,0.00682888538
[G10037],ferrite_market for ferrite[GLO],0.032,kilogram,Inverter,Ferrous Alloys,0.5141748992
[G10871],"printed wiring board, surface mounted, unspecified, Pb free_market for printed wiring board, surface mounted, unspecified, Pb free[GLO]",0.16855,kilogram,Inverter,,
[G13750],"capacitor, film type, for through-hole mounting_market for capacitor, film type, for through-hole mounting[GLO]",0.0939,kilogram,Inverter,,
[G14870],"polystyrene, high impact_market for polystyrene, high impact[GLO]",0.0211,kilogram,Inverter,Polystyrene,0.3390340742
[G110],brass_market for brass[RoW],0.0134,kilogram,Converter,Brass,0.1023638344
[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",0.05,kilogram,Converter,Steel,0.381954606
[G4640],brass_market for brass[CH],6.73E-05,kilogram,Converter,Brass,5.14E-04
[G5605],aluminium oxide_market for aluminium oxide[GLO],0.00561,kilogram,Converter,Aluminium,0.04285530679
[G5735],"resistor, auxilliaries and energy use_market for resistor, auxilliaries and energy use[GLO]",0.00556,kilogram,Converter,,
[G5949],copper_market for copper[GLO],0.12,kilogram,Converter,Copper,0.9166910544
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",0.598,kilogram,Converter,Aluminium,4.568177088
[G9542],silicone product_market for silicone product[GLO],0.000559,kilogram,Converter,Silicone,0.004270252495
[G10037],ferrite_market for ferrite[GLO],0.114,kilogram,Converter,Ferrite,0.8708565017
[G10871],"printed wiring board, surface mounted, unspecified, Pb free_market for printed wiring board, surface mounted, unspecified, Pb free[GLO]",0.09506,kilogram,Converter,,
[G12999],"steel, chromium steel 18/8, hot rolled_market for steel, chromium steel 18/8, hot rolled[GLO]",0.0264,kilogram,Converter,Steel,0.201672032
[G13750],"capacitor, film type, for through-hole mounting_market for capacitor, film type, for through-hole mounting[GLO]",0.0302,kilogram,Converter,,
[G13883],"polyester resin, unsaturated_market for polyester resin, unsaturated[GLO]",0.0244,kilogram,Converter,Polyester,0.1863938477
[G14870],"polystyrene, high impact_market for polystyrene, high impact[GLO]",0.0055,kilogram,Converter,Polystyrene,0.04201500666
[G110],brass_market for brass[RoW],0.016,kilogram,Charger,Brass,0.1684140666
[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",0.0667,kilogram,Charger,Steel,0.70207614
