Component,Unitmass,Material,Class
Motor,480.0,Steel,Pleziervaartuigen
Motor,360.0,Steel,Pleziervaartuigen
Motor,450.0,Steel,Pleziervaartuigen
Romp,2400.0,Steel,Pleziervaartuigen
Romp,2025.0,Polyester,Pleziervaartuigen
Romp,2250.0,Wood,Pleziervaartuigen
Kiel,2100.0,Steel,Pleziervaartuigen
Kiel,1575.0,Polyester,Pleziervaartuigen
Kiel,1350.0,Wood,Pleziervaartuigen
Overig,1020.0000000000001,Unknown,Pleziervaartuigen
Overig,540.0,Unknown,Pleziervaartuigen
Overig,450.0,Unknown,Pleziervaartuigen
