Perioden,Vtype,Waarde,Onderwerp
2014,Openmotorboot,21.904,Pleziervaart
2014,Openmotorboot,1.393,Pleziervaart
2014,Openmotorboot,21.904,Pleziervaart
2014,Openmotorboot,1.393,Pleziervaart
2014,Openmotorboot,21.904,Pleziervaart
2014,Openmotorboot,1.393,Pleziervaart
