VlootboekType,Perioden,VlootboekCat,VlootboekNaam,Waarde,Vehiclelifetime,GTavg,kWavg,Flow,VlootboekType,EUtype,GT/LDT,VehicleAvgWeight,GTsum,LTsum,KWsum,VehicleWsum,Class
omnibarge,2012,WB,Splijtbak / Omnibarge,26,15,967.8,,stock,Waterbouw,Bulk carrier,2.56,2477568,25163,390,,64416768,Seavessels
omnibarge,2013,WB,Splijtbak / Omnibarge,25,13,994.3,,stock,Waterbouw,Bulk carrier,2.56,2545408,24858,325,,63635200,Seavessels
omnibarge,2014,WB,Splijtbak / Omnibarge,26,13,1126.8,,stock,Waterbouw,Bulk carrier,2.56,2884608,29297,338,,74999808,Seavessels
omnibarge,2015,WB,Splijtbak / Omnibarge,30,12,1034.7,,stock,Waterbouw,Bulk carrier,2.56,2648832,31041,360,,79464960,Seavessels
omnibarge,2016,WB,Splijtbak / Omnibarge,26,15,1117,,stock,Waterbouw,Bulk carrier,2.56,2859520,29042,390,,74347520,Seavessels
omnibarge,2017,WB,Splijtbak / Omnibarge,32,13,1011.2,,stock,Waterbouw,Bulk carrier,2.56,2588672,32358,416,,82837504,Seavessels
omnibarge,2018,WB,Splijtbak / Omnibarge,32,12,1026.9,,stock,Waterbouw,Bulk carrier,2.56,2628864,32861,384,,84123648,Seavessels
storter,2012,WB,Steen storter schip,7,31,8551.3,,stock,Waterbouw,Offshore ship,2.96,25311848,59859,217,,177182936,Seavessels
storter,2013,WB,Steen storter schip,6,30,9956.3,,stock,Waterbouw,Offshore ship,2.96,29470648,59738,180,,176823888,Seavessels
storter,2014,WB,Steen storter schip,6,31,9956.3,,stock,Waterbouw,Offshore ship,2.96,29470648,59738,186,,176823888,Seavessels
storter,2015,WB,Steen storter schip,6,32,9956.3,,stock,Waterbouw,Offshore ship,2.96,29470648,59738,192,,176823888,Seavessels
storter,2016,WB,Steen storter schip,6,33,9956.3,,stock,Waterbouw,Offshore ship,2.96,29470648,59738,198,,176823888,Seavessels
storter,2017,WB,Steen storter schip,6,29,13298.2,,stock,Waterbouw,Offshore ship,2.96,39362672,79789,174,,236176032,Seavessels
storter,2018,WB,Steen storter schip,6,30,13298.2,,stock,Waterbouw,Offshore ship,2.96,39362672,79789,180,,236176032,Seavessels
transportponton,2012,ZSV,Transport ponton,67,12,2908.6,,stock,Zeesleepvaart,Bulk carrier,2.56,7446016,194876,804,,498883072,Seavessels
transportponton,2013,ZSV,Transport ponton,69,12,2988,,stock,Zeesleepvaart,Bulk carrier,2.56,7649280,206172,828,,527800320,Seavessels
transportponton,2014,ZSV,Transport ponton,72,12,3005,,stock,Zeesleepvaart,Bulk carrier,2.56,7692800,216360,864,,553881600,Seavessels
transportponton,2015,ZSV,Transport ponton,192,18,1411.8,,stock,Zeesleepvaart,Bulk carrier,2.56,3614208,271066,3456,,693927936,Seavessels
transportponton,2016,ZSV,Transport ponton,187,18,1475.4,,stock,Zeesleepvaart,Bulk carrier,2.56,3777024,275900,3366,,706303488,Seavessels
transportponton,2017,ZSV,Transport ponton,193,16,1480.1,,stock,Zeesleepvaart,Bulk carrier,2.56,3789056,285659,3088,,731287808,Seavessels
transportponton,2018,ZSV,Transport ponton,72,13,3120.7,,stock,Zeesleepvaart,Bulk carrier,2.56,7988992,224690,936,,575207424,Seavessels
veer,2012,HV,Veer schip,8,13,31307.5,,stock,Handelsvaart,Ro-Ro ships,3.2,100184000,250460,104,,801472000,Seavessels
veer,2013,HV,Veer schip,7,13,34592.7,,stock,Handelsvaart,Ro-Ro ships,3.2,110696640,242149,91,,774876480,Seavessels
veer,2014,HV,Veer schip,7,14,34592.7,,stock,Handelsvaart,Ro-Ro ships,3.2,110696640,242149,98,,774876480,Seavessels
veer,2015,HV,Veer schip,7,15,34592.7,,stock,Handelsvaart,Ro-Ro ships,3.2,110696640,242149,105,,774876480,Seavessels
veer,2016,HV,Veer schip,6,14,40067.7,,stock,Handelsvaart,Ro-Ro ships,3.2,128216640,240406,84,,769299840,Seavessels
veer,2017,HV,Veer schip,6,15,40067.7,,stock,Handelsvaart,Ro-Ro ships,3.2,128216640,240406,90,,769299840,Seavessels
veer,2018,HV,Veer schip,5,17,35273.4,,stock,Handelsvaart,Ro-Ro ships,3.2,112874880,176367,85,,564374400,Seavessels
werkponton,2012,ZSV,Werk ponton,3,19,1536,,stock,Zeesleepvaart,Bulk carrier,2.56,3932160,4608,57,,11796480,Seavessels
werkponton,2013,ZSV,Werk ponton,4,16,1882.5,,stock,Zeesleepvaart,Bulk carrier,2.56,4819200,7530,64,,19276800,Seavessels
werkponton,2014,ZSV,Werk ponton,4,17,1882.5,,stock,Zeesleepvaart,Bulk carrier,2.56,4819200,7530,68,,19276800,Seavessels
werkponton,2015,ZSV,Werk ponton,16,20,726.3,,stock,Zeesleepvaart,Bulk carrier,2.56,1859328,11621,320,,29749248,Seavessels
werkponton,2016,ZSV,Werk ponton,14,20,686.9,,stock,Zeesleepvaart,Bulk carrier,2.56,1758464,9617,280,,24618496,Seavessels
werkponton,2017,ZSV,Werk ponton,15,19,711.1,,stock,Zeesleepvaart,Bulk carrier,2.56,1820416,10667,285,,27306240,Seavessels
werkponton,2018,ZSV,Werk ponton,4,11,1668.5,,stock,Zeesleepvaart,Bulk carrier,2.56,4271360,6674,44,,17085440,Seavessels
werkschip,2012,WB,Werk schip,33,18,564.9,,stock,Waterbouw,Service ships,1.6,903840,18642,594,,29826720,Seavessels
werkschip,2012,ZSV,Werk schip,2,5,16921.5,,stock,Zeesleepvaart,Service ships,1.6,27074400,33843,10,,54148800,Seavessels
werkschip,2013,ZSV,Werk schip,36,17,552.8,,stock,Zeesleepvaart,Service ships,1.6,884480,19901,612,,31841280,Seavessels
werkschip,2014,ZSV,Werk schip,38,19,582.4,,stock,Zeesleepvaart,Service ships,1.6,931840,22131,722,,35409920,Seavessels
werkschip,2015,ZSV,Werk schip,51,18,641.4,,stock,Zeesleepvaart,Service ships,1.6,1026240,32711,918,,52338240,Seavessels
werkschip,2016,ZSV,Werk schip,54,17,621.5,,stock,Zeesleepvaart,Service ships,1.6,994400,33561,918,,53697600,Seavessels
werkschip,2017,ZSV,Werk schip,52,18,664,,stock,Zeesleepvaart,Service ships,1.6,1062400,34528,936,,55244800,Seavessels
werkschip,2018,WB,Werk schip,37,17,805.8,,stock,Waterbouw,Service ships,1.6,1289280,29815,629,,47703360,Seavessels
werkschip,2018,ZSV,Werk schip,5,10,12231,,stock,Zeesleepvaart,Service ships,1.6,19569600,61155,50,,97848000,Seavessels
zuiger,2012,WB,Zuiger schip,9,43,763.3,,stock,Waterbouw,Offshore ship,2.96,2259368,6870,387,,20334312,Seavessels
zuiger,2013,WB,Zuiger schip,8,43,764.6,,stock,Waterbouw,Offshore ship,2.96,2263216,6117,344,,18105728,Seavessels
zuiger,2014,WB,Zuiger schip,8,44,771.8,,stock,Waterbouw,Offshore ship,2.96,2284528,6174,352,,18276224,Seavessels
zuiger,2015,WB,Zuiger schip,8,45,771.8,,stock,Waterbouw,Offshore ship,2.96,2284528,6174,360,,18276224,Seavessels
zuiger,2016,WB,Zuiger schip,8,46,771.8,,stock,Waterbouw,Offshore ship,2.96,2284528,6174,368,,18276224,Seavessels
zuiger,2017,WB,Zuiger schip,8,47,771.8,,stock,Waterbouw,Offshore ship,2.96,2284528,6174,376,,18276224,Seavessels
zuiger,2018,WB,Zuiger schip,8,48,771.8,,stock,Waterbouw,Offshore ship,2.96,2284528,6174,384,,18276224,Seavessels
zware,2012,HV,Zware lading schip,17,14,11300.5,,stock,Handelsvaart,Specialised cargo,2.67,30172335,192109,238,,512929695,Seavessels
zware,2013,HV,Zware lading schip,20,13,16796.4,,stock,Handelsvaart,Specialised cargo,2.67,44846388,335928,260,,896927760,Seavessels
zware,2014,HV,Zware lading schip,23,11,11980.3,,stock,Handelsvaart,Specialised cargo,2.67,31987401,275547,253,,735710223,Seavessels
zware,2015,HV,Zware lading schip,23,10,13122.7,,stock,Handelsvaart,Specialised cargo,2.67,35037609,301822,230,,805865007,Seavessels
zware,2016,HV,Zware lading schip,19,12,13452.6,,stock,Handelsvaart,Specialised cargo,2.67,35918442,255599,228,,682450398,Seavessels
zware,2017,HV,Zware lading schip,24,10,12171.5,,stock,Handelsvaart,Specialised cargo,2.67,32497905,292116,240,,779949720,Seavessels
zware,2018,HV,Zware lading schip,25,11,12285.5,,stock,Handelsvaart,Specialised cargo,2.67,32802285,307138,275,,820057125,Seavessels
