Material Group,Material,Unitmass,Vehicle,Class,Source,Flowid,Ecoinvent Flow,Eimass,Unit,Part
Material Group,,,lorry40t,Utilitycars,Ecoinvent,,,15336.6,,Lorry
Ferrous metals,"Steel, low alloy",2.2039E-03,lorry40t,Utilitycars,Ecoinvent,[G330],"steel, low-alloyed, hot rolled_market for steel, low-alloyed, hot rolled[GLO]",33.8,kilogram,Lorry
Material Group,,,lorry40t,Utilitycars,Ecoinvent,[G621],"electronics, for control units_market for electronics, for control units[GLO]",76.8,kilogram,Lorry
Paint,Paint,6.6508E-03,lorry40t,Utilitycars,Ecoinvent,[G1028],"alkyd paint, white, without solvent, in 60% solution state_market for alkyd paint, white, without solvent, in 60% solution state[GLO]",102,kilogram,Lorry
Nonferrous metals,Aluminium,1.1476E-02,lorry40t,Utilitycars,Ecoinvent,[G3058],"aluminium, cast alloy_market for aluminium, cast alloy[GLO]",176,kilogram,Lorry
Ferrous metals,"Iron, pig",2.3604E-01,lorry40t,Utilitycars,Ecoinvent,[G3339],pig iron_market for pig iron[GLO],3.62E+03,kilogram,Lorry
Nonferrous metals,Lead,4.7990E-03,lorry40t,Utilitycars,Ecoinvent,[G3787],lead_market for lead[GLO],73.6,kilogram,Lorry
Polymers,Polyethylene,3.8405E-02,lorry40t,Utilitycars,Ecoinvent,[G3952],"polyethylene, high density, granulate_market for polyethylene, high density, granulate[GLO]",589,kilogram,Lorry
Nonferrous metals,Brass,3.3384E-03,lorry40t,Utilitycars,Ecoinvent,[G4640],brass_market for brass[CH],51.2,kilogram,Lorry
Ferrous metals,"Steel, reinforcing",4.3947E-01,lorry40t,Utilitycars,Ecoinvent,[G5916],reinforcing steel_market for reinforcing steel[GLO],6.74E+03,kilogram,Lorry
Nonferrous metals,Copper,5.0076E-03,lorry40t,Utilitycars,Ecoinvent,[G5949],copper_market for copper[GLO],76.8,kilogram,Lorry
Ferrous metals,"Iron, cast",1.5062E-01,lorry40t,Utilitycars,Ecoinvent,[G8652],cast iron_market for cast iron[GLO],2.31E+03,kilogram,Lorry
Nonferrous metals,Aluminium,2.4386E-02,lorry40t,Utilitycars,Ecoinvent,[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",374,kilogram,Lorry
Insulation,Stone wool,1.6692E-03,lorry40t,Utilitycars,Ecoinvent,[G10528],"stone wool, packed_market for stone wool, packed[GLO]",25.6,kilogram,Lorry
Polymers,Rubber,6.2595E-02,lorry40t,Utilitycars,Ecoinvent,[G11853],synthetic rubber_market for synthetic rubber[GLO],960,kilogram,Lorry
