Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Polymers,Dimethyl Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Plastic,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,4.3%
Polymers,Binder,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,2.1%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,1.9%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,1.7%
Polymers,Glycol,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,1.3%
Minerals,Electronicparts,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,0.9%
Insulation,Thermal Insulation,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,0.3%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,33.4%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,19.1%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,14.6%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,10.9%
Polymers,Ethylene Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Dimethyl Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Plastic,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,3.2%
Polymers,Binder,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,2.5%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,1.8%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,1.4%
Minerals,Electronicparts,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,1.2%
Polymers,Glycol,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,1.0%
Insulation,Thermal Insulation,0.0000E+00,icev,Cars,Battery,Li-Ion EV Battery,0.3%
