Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Powertrain,Exhaust,99.985%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,evan,Utilitycars,Powertrain,Exhaust,0.015%
Polymers,Plastic,3.3155E-03,evan,Utilitycars,Powertrain,Powertrain electrical,59%
Copper,Copper,2.3040E-03,evan,Utilitycars,Powertrain,Powertrain electrical,41%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Powertrain,Emission control electronics,59%
Copper,Copper,0.0000E+00,evan,Utilitycars,Powertrain,Emission control electronics,41%
"Metals, ferrous",Steel,5.6194E-03,evan,Utilitycars,Powertrain,Weld blanks and fasteners (powertrain to body),100%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Powertrain,Transmission (ICEV),30%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,evan,Utilitycars,Powertrain,Transmission (ICEV),30%
"Metals, ferrous","Iron, cast",0.0000E+00,evan,Utilitycars,Powertrain,Transmission (ICEV),30%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Powertrain,Transmission (ICEV),5%
Polymers,Rubber,0.0000E+00,evan,Utilitycars,Powertrain,Transmission (ICEV),5%
"Metals, ferrous",Steel,1.2826E-02,evan,Utilitycars,Powertrain,Transmission (HEV/FCV),60.5%
Aluminium,"Aluminium, wrought alloy",4.2401E-03,evan,Utilitycars,Powertrain,Transmission (HEV/FCV),20%
Copper,Copper,4.0281E-03,evan,Utilitycars,Powertrain,Transmission (HEV/FCV),19%
Organic,Organic,6.3602E-05,evan,Utilitycars,Powertrain,Transmission (HEV/FCV),0.3%
Polymers,Plastic,4.2401E-05,evan,Utilitycars,Powertrain,Transmission (HEV/FCV),0.2%
"Metals, ferrous",Steel,1.6858E-02,evan,Utilitycars,Chassis,Cradle,100%
"Metals, ferrous",Steel,4.1635E-02,evan,Utilitycars,Chassis,Driveshaft/axle,100%
"Metals, ferrous",Steel,1.4049E-02,evan,Utilitycars,Chassis,Differential,100%
"Metals, ferrous",Steel,2.2989E-02,evan,Utilitycars,Chassis,Corner suspension,100%
"Metals, ferrous",Iron,1.2874E-02,evan,Utilitycars,Chassis,Braking system,60%
"Metals, ferrous",Steel,7.5096E-03,evan,Utilitycars,Chassis,Braking system,35%
Ceramics,Friction Material,1.0728E-03,evan,Utilitycars,Chassis,Braking system,5%
"Metals, ferrous",Steel,2.3244E-02,evan,Utilitycars,Chassis,Wheels,100%
Polymers,Rubber,1.5402E-02,evan,Utilitycars,Chassis,Tires,67%
"Metals, ferrous",Steel,7.5862E-03,evan,Utilitycars,Chassis,Tires,33%
"Metals, ferrous",Steel,1.0013E-02,evan,Utilitycars,Chassis,Steering system,80%
Aluminium,"Aluminium, wrought alloy",1.8774E-03,evan,Utilitycars,Chassis,Steering system,15%
Polymers,Rubber,6.2580E-04,evan,Utilitycars,Chassis,Steering system,5%
Polymers,Plastic,3.3155E-03,evan,Utilitycars,Chassis,Chassis electrical,59%
Copper,Copper,2.3040E-03,evan,Utilitycars,Chassis,Chassis electrical,41%
"Metals, ferrous",Steel,5.6194E-03,evan,Utilitycars,Chassis,Weld blanks and fasteners (chassis to body),100%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Chassis,Generator,36.1%
Aluminium,"Aluminium, cast alloy",0.0000E+00,evan,Utilitycars,Chassis,Generator,36.1%
Copper,Copper,0.0000E+00,evan,Utilitycars,Chassis,Generator,27.3%
"Metals, ferrous",Steel,1.5583E-02,evan,Utilitycars,Chassis,Motor,36.1%
Aluminium,"Aluminium, cast alloy",1.5583E-02,evan,Utilitycars,Chassis,Motor,36.1%
Copper,Copper,1.1785E-02,evan,Utilitycars,Chassis,Motor,27.3%
"Metals, ferrous",Steel,1.9029E-03,evan,Utilitycars,Chassis,Controller/inverter,5.0%
Aluminium,"Aluminium, cast alloy",1.7888E-02,evan,Utilitycars,Chassis,Controller/inverter,47.0%
Copper,Copper,3.1208E-03,evan,Utilitycars,Chassis,Controller/inverter,8.2%
Polymers,Rubber,1.4082E-03,evan,Utilitycars,Chassis,Controller/inverter,3.7%
