Age,Count
0,9
1,14
2,17
3,18
4,9
5,12
6,8
7,13
8,16
9,15
10,16
11,13
12,8
13,7
14,6
15,8
16,11
17,3
18,6
19,17
20,6
21,1
25,2
26,1
28,1
29,1
39,1
42,1
