"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"2001";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";"373";""
"2002";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2002";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2002";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2002";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2002";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2002";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2002";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2003";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2003";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2003";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2003";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2003";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2003";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2003";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2003";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2003";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2004";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2004";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2004";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
