"Perioden";"Brandstofsoort";"Bouwjaarklasse";"Onderwerp";"";""
"2007";"Diesel";"Bouwjaar 2009";"Snorfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2009";"Bromfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2009";"Brommobiel";"aantal";""
"2007";"Diesel";"Bouwjaar 2009";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Diesel";"Bouwjaar 2008";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Diesel";"Bouwjaar 2008";"Snorfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2008";"Bromfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2008";"Brommobiel";"aantal";""
"2007";"Diesel";"Bouwjaar 2008";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Diesel";"Bouwjaar 2007";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Diesel";"Bouwjaar 2007";"Snorfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2007";"Bromfiets";"aantal";""
"2007";"Diesel";"Bouwjaar 2007";"Brommobiel";"aantal";""
"2007";"Diesel";"Bouwjaar 2007";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Diesel";"Bouwjaar 2006";"Voertuigen met bromfietskenteken";"aantal";"1645"
"2007";"Diesel";"Bouwjaar 2006";"Snorfiets";"aantal";"0"
"2007";"Diesel";"Bouwjaar 2006";"Bromfiets";"aantal";"0"
"2007";"Diesel";"Bouwjaar 2006";"Brommobiel";"aantal";"1645"
"2007";"Diesel";"Bouwjaar 2006";"Overige voertuigen met bromfietskenteken";"aantal";"0"
"2007";"Diesel";"Bouwjaren tot en met 2005";"Voertuigen met bromfietskenteken";"aantal";"14174"
"2007";"Diesel";"Bouwjaren tot en met 2005";"Snorfiets";"aantal";"33"
"2007";"Diesel";"Bouwjaren tot en met 2005";"Bromfiets";"aantal";"34"
"2007";"Diesel";"Bouwjaren tot en met 2005";"Brommobiel";"aantal";"14095"
"2007";"Diesel";"Bouwjaren tot en met 2005";"Overige voertuigen met bromfietskenteken";"aantal";"12"
