"Onderwerp";"Voertuigtype";"Perioden";"Eenheid";"Waarde"
"||Totaal";"Trekker voor oplegger";"2015";"aantal";"70533"
"||Totaal";"Trekker voor oplegger";"2016";"aantal";"72245"
"||Totaal";"Trekker voor oplegger";"2017";"aantal";"74218"
"||Totaal";"Trekker voor oplegger";"2018";"aantal";"77075"
"||Totaal";"Trekker voor oplegger";"2019";"aantal";"80078"
"||Totaal";"Speciaal voertuig";"2000";"aantal";"36374"
"||Totaal";"Speciaal voertuig";"2001";"aantal";"39707"
"||Totaal";"Speciaal voertuig";"2002";"aantal";"43292"
"||Totaal";"Speciaal voertuig";"2003";"aantal";"46899"
"||Totaal";"Speciaal voertuig";"2004";"aantal";"49228"
"||Totaal";"Speciaal voertuig";"2005";"aantal";"51451"
"||Totaal";"Speciaal voertuig";"2006";"aantal";"55104"
"||Totaal";"Speciaal voertuig";"2007";"aantal";"58268"
"||Totaal";"Speciaal voertuig";"2008";"aantal";"61030"
"||Totaal";"Speciaal voertuig";"2009";"aantal";"64194"
"||Totaal";"Speciaal voertuig";"2010";"aantal";"65294"
"||Totaal";"Speciaal voertuig";"2011";"aantal";"64751"
"||Totaal";"Speciaal voertuig";"2012";"aantal";"64115"
"||Totaal";"Speciaal voertuig";"2013";"aantal";"63312"
"||Totaal";"Speciaal voertuig";"2014";"aantal";"62414"
"||Totaal";"Speciaal voertuig";"2015";"aantal";"61145"
"||Totaal";"Speciaal voertuig";"2016";"aantal";"60344"
"||Totaal";"Speciaal voertuig";"2017";"aantal";"59940"
"||Totaal";"Speciaal voertuig";"2018";"aantal";"59371"
"||Totaal";"Speciaal voertuig";"2019";"aantal";"59106"
"||Totaal";"Bus";"2000";"aantal";"11206"
"||Totaal";"Bus";"2001";"aantal";"11369"
"||Totaal";"Bus";"2002";"aantal";"11326"
"||Totaal";"Bus";"2003";"aantal";"11382"
"||Totaal";"Bus";"2004";"aantal";"11344"
"||Totaal";"Bus";"2005";"aantal";"11231"
"||Totaal";"Bus";"2006";"aantal";"10995"
"||Totaal";"Bus";"2007";"aantal";"10845"
"||Totaal";"Bus";"2008";"aantal";"11091"
"||Totaal";"Bus";"2009";"aantal";"11332"
"||Totaal";"Bus";"2010";"aantal";"11634"
"||Totaal";"Bus";"2011";"aantal";"11277"
"||Totaal";"Bus";"2012";"aantal";"10986"
"||Totaal";"Bus";"2013";"aantal";"10464"
"||Totaal";"Bus";"2014";"aantal";"9922"
"||Totaal";"Bus";"2015";"aantal";"9597"
"||Totaal";"Bus";"2016";"aantal";"9411"
"||Totaal";"Bus";"2017";"aantal";"9822"
"||Totaal";"Bus";"2018";"aantal";"9914"
"||Totaal";"Bus";"2019";"aantal";"9717"
"||Totaal";"Aanhangwagen";"2000";"aantal";""
"||Totaal";"Aanhangwagen";"2001";"aantal";""
"||Totaal";"Aanhangwagen";"2002";"aantal";""
"||Totaal";"Aanhangwagen";"2003";"aantal";""
"||Totaal";"Aanhangwagen";"2004";"aantal";"721626"
"||Totaal";"Aanhangwagen";"2005";"aantal";"782035"
"||Totaal";"Aanhangwagen";"2006";"aantal";"820035"
"||Totaal";"Aanhangwagen";"2007";"aantal";"853482"
"||Totaal";"Aanhangwagen";"2008";"aantal";"881919"
"||Totaal";"Aanhangwagen";"2009";"aantal";"905955"
"||Totaal";"Aanhangwagen";"2010";"aantal";"924118"
"||Totaal";"Aanhangwagen";"2011";"aantal";"938857"
"||Totaal";"Aanhangwagen";"2012";"aantal";"952350"
"||Totaal";"Aanhangwagen";"2013";"aantal";"960631"
"||Totaal";"Aanhangwagen";"2014";"aantal";"964889"
"||Totaal";"Aanhangwagen";"2015";"aantal";"970962"
"||Totaal";"Aanhangwagen";"2016";"aantal";"979377"
"||Totaal";"Aanhangwagen";"2017";"aantal";"989453"
"||Totaal";"Aanhangwagen";"2018";"aantal";"1002771"
"||Totaal";"Aanhangwagen";"2019";"aantal";"1008731"
"||Totaal";"Oplegger";"2000";"aantal";""
"||Totaal";"Oplegger";"2001";"aantal";""
"||Totaal";"Oplegger";"2002";"aantal";""
"||Totaal";"Oplegger";"2003";"aantal";""
"||Totaal";"Oplegger";"2004";"aantal";"107092"
"||Totaal";"Oplegger";"2005";"aantal";"112360"
"||Totaal";"Oplegger";"2006";"aantal";"117059"
"||Totaal";"Oplegger";"2007";"aantal";"119376"
"||Totaal";"Oplegger";"2008";"aantal";"126027"
"||Totaal";"Oplegger";"2009";"aantal";"132894"
"||Totaal";"Oplegger";"2010";"aantal";"132622"
"||Totaal";"Oplegger";"2011";"aantal";"132300"
"||Totaal";"Oplegger";"2012";"aantal";"132334"
"||Totaal";"Oplegger";"2013";"aantal";"131543"
"||Totaal";"Oplegger";"2014";"aantal";"131890"
"||Totaal";"Oplegger";"2015";"aantal";"135689"
"||Totaal";"Oplegger";"2016";"aantal";"142977"
"||Totaal";"Oplegger";"2017";"aantal";"149030"
"||Totaal";"Oplegger";"2018";"aantal";"157072"
"||Totaal";"Oplegger";"2019";"aantal";"164012"
"Benzine";"Totaal bedrijfsvoertuigen";"2000";"aantal";"90068"
"Benzine";"Totaal bedrijfsvoertuigen";"2001";"aantal";"80745"
"Benzine";"Totaal bedrijfsvoertuigen";"2002";"aantal";"72730"
"Benzine";"Totaal bedrijfsvoertuigen";"2003";"aantal";"66491"
"Benzine";"Totaal bedrijfsvoertuigen";"2004";"aantal";"60481"
"Benzine";"Totaal bedrijfsvoertuigen";"2005";"aantal";"55074"
"Benzine";"Totaal bedrijfsvoertuigen";"2006";"aantal";"49727"
"Benzine";"Totaal bedrijfsvoertuigen";"2007";"aantal";"45180"
"Benzine";"Totaal bedrijfsvoertuigen";"2008";"aantal";"41650"
"Benzine";"Totaal bedrijfsvoertuigen";"2009";"aantal";"39151"
"Benzine";"Totaal bedrijfsvoertuigen";"2010";"aantal";"36786"
"Benzine";"Totaal bedrijfsvoertuigen";"2011";"aantal";"34586"
"Benzine";"Totaal bedrijfsvoertuigen";"2012";"aantal";"32763"
"Benzine";"Totaal bedrijfsvoertuigen";"2013";"aantal";"30864"
"Benzine";"Totaal bedrijfsvoertuigen";"2014";"aantal";"29493"
"Benzine";"Totaal bedrijfsvoertuigen";"2015";"aantal";"29080"
"Benzine";"Totaal bedrijfsvoertuigen";"2016";"aantal";"29107"
"Benzine";"Totaal bedrijfsvoertuigen";"2017";"aantal";"29704"
"Benzine";"Totaal bedrijfsvoertuigen";"2018";"aantal";"30528"
"Benzine";"Totaal bedrijfsvoertuigen";"2019";"aantal";"31585"
"Benzine";"Bestelauto";"2000";"aantal";"84930"
"Benzine";"Bestelauto";"2001";"aantal";"75877"
"Benzine";"Bestelauto";"2002";"aantal";"67923"
"Benzine";"Bestelauto";"2003";"aantal";"61677"
"Benzine";"Bestelauto";"2004";"aantal";"55795"
"Benzine";"Bestelauto";"2005";"aantal";"50474"
"Benzine";"Bestelauto";"2006";"aantal";"45197"
"Benzine";"Bestelauto";"2007";"aantal";"40791"
"Benzine";"Bestelauto";"2008";"aantal";"37369"
"Benzine";"Bestelauto";"2009";"aantal";"34871"
"Benzine";"Bestelauto";"2010";"aantal";"32519"
"Benzine";"Bestelauto";"2011";"aantal";"30418"
"Benzine";"Bestelauto";"2012";"aantal";"28739"
"Benzine";"Bestelauto";"2013";"aantal";"26958"
"Benzine";"Bestelauto";"2014";"aantal";"25686"
"Benzine";"Bestelauto";"2015";"aantal";"25372"
"Benzine";"Bestelauto";"2016";"aantal";"25463"
"Benzine";"Bestelauto";"2017";"aantal";"26134"
"Benzine";"Bestelauto";"2018";"aantal";"27015"
"Benzine";"Bestelauto";"2019";"aantal";"28087"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2000";"aantal";"970"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2001";"aantal";"945"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2002";"aantal";"984"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2003";"aantal";"1024"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2004";"aantal";"1012"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2005";"aantal";"1007"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2006";"aantal";"990"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2007";"aantal";"930"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2008";"aantal";"906"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2009";"aantal";"909"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2010";"aantal";"925"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2011";"aantal";"929"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2012";"aantal";"908"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2013";"aantal";"908"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2014";"aantal";"890"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2015";"aantal";"891"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2016";"aantal";"889"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2017";"aantal";"870"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2018";"aantal";"871"
"Benzine";"Vrachtauto (excl. trekker voor oplegger)";"2019";"aantal";"859"
"Benzine";"Trekker voor oplegger";"2000";"aantal";"17"
"Benzine";"Trekker voor oplegger";"2001";"aantal";"26"
"Benzine";"Trekker voor oplegger";"2002";"aantal";"24"
"Benzine";"Trekker voor oplegger";"2003";"aantal";"19"
"Benzine";"Trekker voor oplegger";"2004";"aantal";"22"
"Benzine";"Trekker voor oplegger";"2005";"aantal";"29"
"Benzine";"Trekker voor oplegger";"2006";"aantal";"29"
"Benzine";"Trekker voor oplegger";"2007";"aantal";"28"
"Benzine";"Trekker voor oplegger";"2008";"aantal";"24"
"Benzine";"Trekker voor oplegger";"2009";"aantal";"25"
"Benzine";"Trekker voor oplegger";"2010";"aantal";"27"
"Benzine";"Trekker voor oplegger";"2011";"aantal";"28"
"Benzine";"Trekker voor oplegger";"2012";"aantal";"25"
"Benzine";"Trekker voor oplegger";"2013";"aantal";"26"
"Benzine";"Trekker voor oplegger";"2014";"aantal";"23"
"Benzine";"Trekker voor oplegger";"2015";"aantal";"27"
"Benzine";"Trekker voor oplegger";"2016";"aantal";"27"
"Benzine";"Trekker voor oplegger";"2017";"aantal";"28"
"Benzine";"Trekker voor oplegger";"2018";"aantal";"29"
"Benzine";"Trekker voor oplegger";"2019";"aantal";"35"
"Benzine";"Speciaal voertuig";"2000";"aantal";"4136"
"Benzine";"Speciaal voertuig";"2001";"aantal";"3883"
"Benzine";"Speciaal voertuig";"2002";"aantal";"3781"
"Benzine";"Speciaal voertuig";"2003";"aantal";"3749"
"Benzine";"Speciaal voertuig";"2004";"aantal";"3626"
"Benzine";"Speciaal voertuig";"2005";"aantal";"3539"
"Benzine";"Speciaal voertuig";"2006";"aantal";"3484"
"Benzine";"Speciaal voertuig";"2007";"aantal";"3403"
"Benzine";"Speciaal voertuig";"2008";"aantal";"3321"
"Benzine";"Speciaal voertuig";"2009";"aantal";"3316"
"Benzine";"Speciaal voertuig";"2010";"aantal";"3284"
"Benzine";"Speciaal voertuig";"2011";"aantal";"3177"
"Benzine";"Speciaal voertuig";"2012";"aantal";"3063"
"Benzine";"Speciaal voertuig";"2013";"aantal";"2947"
"Benzine";"Speciaal voertuig";"2014";"aantal";"2868"
"Benzine";"Speciaal voertuig";"2015";"aantal";"2767"
"Benzine";"Speciaal voertuig";"2016";"aantal";"2707"
"Benzine";"Speciaal voertuig";"2017";"aantal";"2647"
"Benzine";"Speciaal voertuig";"2018";"aantal";"2594"
"Benzine";"Speciaal voertuig";"2019";"aantal";"2580"
"Benzine";"Bus";"2000";"aantal";"15"
"Benzine";"Bus";"2001";"aantal";"14"
"Benzine";"Bus";"2002";"aantal";"18"
"Benzine";"Bus";"2003";"aantal";"22"
"Benzine";"Bus";"2004";"aantal";"26"
"Benzine";"Bus";"2005";"aantal";"25"
"Benzine";"Bus";"2006";"aantal";"27"
"Benzine";"Bus";"2007";"aantal";"28"
"Benzine";"Bus";"2008";"aantal";"30"
"Benzine";"Bus";"2009";"aantal";"30"
"Benzine";"Bus";"2010";"aantal";"31"
"Benzine";"Bus";"2011";"aantal";"34"
"Benzine";"Bus";"2012";"aantal";"28"
"Benzine";"Bus";"2013";"aantal";"25"
"Benzine";"Bus";"2014";"aantal";"26"
"Benzine";"Bus";"2015";"aantal";"23"
"Benzine";"Bus";"2016";"aantal";"21"
"Benzine";"Bus";"2017";"aantal";"25"
