"TIME";"REP_MAR";"VESSEL";"UNIT";"Value";"Flag and Footnotes"
"1998";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"114 718";""
"1998";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-0.9";""
"1998";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";"-4.7";""
"1998";"Netherlands";"Dry bulk carrier";"Number";"2 927";""
"1998";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"101 009";""
"1998";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"1.3";""
"1998";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-0.3";""
"1998";"Netherlands";"Container ship";"Number";"5 121";""
"1998";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"124 167";""
"1998";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"6.5";""
"1998";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";"3.7";""
"1998";"Netherlands";"Specialised carrier";"Number";"140";""
"1998";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"1 779";""
"1998";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-17.8";""
"1998";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-13.6";""
"1998";"Netherlands";"General cargo; non-specialised";"Number";"24 410";""
"1998";"Netherlands";"General cargo; non-specialised";"Gross tonnage (GT) in thousand";"184 755";""
"1998";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"4.6";""
"1998";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for number of vessels";"2.3";""
"1998";"Netherlands";"Dry cargo barge";"Number";":";""
"1998";"Netherlands";"Dry cargo barge";"Gross tonnage (GT) in thousand";":";""
"1998";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1998";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1998";"Netherlands";"Cruise ship";"Number";":";""
"1998";"Netherlands";"Cruise ship";"Gross tonnage (GT) in thousand";":";""
"1998";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1998";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1998";"Netherlands";"Passenger ship (excluding cruise ship)";"Number";"80";""
"1998";"Netherlands";"Passenger ship (excluding cruise ship)";"Gross tonnage (GT) in thousand";"1 290";""
"1998";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"70.7";""
"1998";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for number of vessels";"86.0";""
"1998";"Netherlands";"Fishing vessel";"Number";"42";""
"1998";"Netherlands";"Fishing vessel";"Gross tonnage (GT) in thousand";"52";""
"1998";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-66.4";""
"1998";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for number of vessels";"-32.3";""
"1998";"Netherlands";"Offshore activities vessel";"Number";"1 616";""
"1998";"Netherlands";"Offshore activities vessel";"Gross tonnage (GT) in thousand";"2 574";""
"1998";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-38.2";""
"1998";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for number of vessels";"-19.6";""
"1998";"Netherlands";"Tug and pusher craft";"Number";"802";""
"1998";"Netherlands";"Tug and pusher craft";"Gross tonnage (GT) in thousand";"794";""
"1998";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"20.8";""
"1998";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for number of vessels";"17.8";""
"1998";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Number";"1 476";""
"1998";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Gross tonnage (GT) in thousand";"4 626";""
"1998";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-10.3";""
"1998";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for number of vessels";"-17.2";""
"1998";"Netherlands";"Unknown";"Number";":";""
"1998";"Netherlands";"Unknown";"Gross tonnage (GT) in thousand";":";""
"1998";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1998";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1999";"Netherlands";"Total";"Number";"46 071";""
"1999";"Netherlands";"Total";"Gross tonnage (GT) in thousand";"566 430";""
"1999";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"5.7";""
"1999";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for number of vessels";"1.9";""
"1999";"Netherlands";"Liquid bulk tanker";"Number";"8 864";""
"1999";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"113 353";""
"1999";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-1.2";""
"1999";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";"2.9";""
"1999";"Netherlands";"Dry bulk carrier";"Number";"2 607";""
"1999";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"92 193";""
"1999";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-8.7";""
"1999";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-10.9";""
"1999";"Netherlands";"Container ship";"Number";"5 505";""
"1999";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"147 508";""
"1999";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"18.8";""
"1999";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";"7.5";""
"1999";"Netherlands";"Specialised carrier";"Number";"113";""
"1999";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"1 625";""
"1999";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-8.6";""
"1999";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-19.3";""
"1999";"Netherlands";"General cargo; non-specialised";"Number";"25 066";""
"1999";"Netherlands";"General cargo; non-specialised";"Gross tonnage (GT) in thousand";"198 262";""
"1999";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"7.3";""
"1999";"Netherlands";"General cargo; non-specialised";"Growth rate on previous period (t/t-1) for number of vessels";"2.7";""
"1999";"Netherlands";"Dry cargo barge";"Number";":";""
"1999";"Netherlands";"Dry cargo barge";"Gross tonnage (GT) in thousand";":";""
"1999";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1999";"Netherlands";"Dry cargo barge";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1999";"Netherlands";"Cruise ship";"Number";":";""
"1999";"Netherlands";"Cruise ship";"Gross tonnage (GT) in thousand";":";""
"1999";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1999";"Netherlands";"Cruise ship";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"1999";"Netherlands";"Passenger ship (excluding cruise ship)";"Number";"230";""
"1999";"Netherlands";"Passenger ship (excluding cruise ship)";"Gross tonnage (GT) in thousand";"5 036";""
"1999";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"290.2";""
"1999";"Netherlands";"Passenger ship (excluding cruise ship)";"Growth rate on previous period (t/t-1) for number of vessels";"187.5";""
"1999";"Netherlands";"Fishing vessel";"Number";"30";""
"1999";"Netherlands";"Fishing vessel";"Gross tonnage (GT) in thousand";"27";""
"1999";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-47.9";""
"1999";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for number of vessels";"-28.6";""
"1999";"Netherlands";"Offshore activities vessel";"Number";"1 423";""
"1999";"Netherlands";"Offshore activities vessel";"Gross tonnage (GT) in thousand";"2 522";""
"1999";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-2.0";""
"1999";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for number of vessels";"-11.9";""
"1999";"Netherlands";"Tug and pusher craft";"Number";"840";""
"1999";"Netherlands";"Tug and pusher craft";"Gross tonnage (GT) in thousand";"799";""
"1999";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"0.6";""
"1999";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for number of vessels";"4.7";""
"1999";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Number";"1 393";""
"1999";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Gross tonnage (GT) in thousand";"5 103";""
"1999";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"10.3";""
"1999";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for number of vessels";"-5.6";""
"1999";"Netherlands";"Unknown";"Number";":";""
"1999";"Netherlands";"Unknown";"Gross tonnage (GT) in thousand";":";""
"1999";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"1999";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2000";"Netherlands";"Total";"Number";"46 048";""
"2000";"Netherlands";"Total";"Gross tonnage (GT) in thousand";"607 761";""
"2000";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"7.3";""
"2000";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for number of vessels";"0.0";""
"2000";"Netherlands";"Liquid bulk tanker";"Number";"9 672";""
"2000";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"126 024";""
"2000";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"11.2";""
"2000";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";"9.1";""
"2000";"Netherlands";"Dry bulk carrier";"Number";"2 751";""
"2000";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"100 115";""
"2000";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"8.6";""
"2000";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";"5.5";""
"2000";"Netherlands";"Container ship";"Number";"5 458";""
"2000";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"162 267";""
