"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Bestelauto";"15 000 - 15 499 kg";"aantal";""
"2000";"Bestelauto";"15 500 - 15 999 kg";"aantal";""
"2000";"Bestelauto";"16 000 - 19 999 kg";"aantal";""
"2000";"Bestelauto";"20 000 - 24 999 kg";"aantal";""
"2000";"Bestelauto";"25 000 - 29 999 kg";"aantal";""
"2000";"Bestelauto";"30 000 kg en meer";"aantal";""
"2000";"Bestelauto";"Leeggewicht onbekend";"aantal";"19"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"||Totaal";"aantal";"83153"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"Benzine";"aantal";"970"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"Diesel";"aantal";"82031"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"LPG";"aantal";"150"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"Elektriciteit";"aantal";"0"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"CNG";"aantal";"0"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"Geen/overige/onbekende brandstof";"aantal";"2"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"||Totaal";"aantal";"83153"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"< 500 kg";"aantal";"1"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"500 - 999 kg";"aantal";"1"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"1000 - 1499 kg";"aantal";"8"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"1500 - 1999 kg";"aantal";"140"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"2000 - 2499 kg";"aantal";"1137"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"2500 - 2999 kg";"aantal";"2006"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"3000 - 3499 kg";"aantal";"2720"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"3500 - 3999 kg";"aantal";"2761"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"4000 - 4499 kg";"aantal";"3226"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"4500 - 4999 kg";"aantal";"4074"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"5000 - 5499 kg";"aantal";"4210"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"5500 - 5999 kg";"aantal";"3485"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"6000 - 6499 kg";"aantal";"3497"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"6500 - 6999 kg";"aantal";"3553"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"7000 - 7499 kg";"aantal";"3715"
"2000";"Vrachtauto (excl. trekker voor oplegger)";"7500 - 7999 kg";"aantal";"3982"
