"Perioden";"Onderwerp";"Bouwjaren";"";""
"2000";"Overig/Onbekend";"Bouwjaren 1960 tot 1970";"aantal";"0"
"2000";"Overig/Onbekend";"Bouwjaren 1970 tot 1980";"aantal";"0"
"2000";"Overig/Onbekend";"Bouwjaren 1980 tot 1990";"aantal";"0"
"2000";"Overig/Onbekend";"Bouwjaren 1990 tot 2000";"aantal";"0"
"2000";"Overig/Onbekend";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"Overig/Onbekend";"Bouwjaren vanaf 2010";"aantal";""
"2000";"||Totaal";"Totaal alle bouwjaren";"aantal";"6343164"
"2000";"||Totaal";"Bouwjaren tot 1910";"aantal";"56"
"2000";"||Totaal";"Bouwjaren 1910 tot 1920";"aantal";"85"
"2000";"||Totaal";"Bouwjaren 1920 tot 1930";"aantal";"934"
"2000";"||Totaal";"Bouwjaren 1930 tot 1940";"aantal";"2062"
"2000";"||Totaal";"Bouwjaren 1940 tot 1950";"aantal";"1928"
"2000";"||Totaal";"Bouwjaren 1950 tot 1960";"aantal";"10760"
"2000";"||Totaal";"Bouwjaren 1960 tot 1970";"aantal";"41835"
"2000";"||Totaal";"Bouwjaren 1970 tot 1980";"aantal";"115572"
"2000";"||Totaal";"Bouwjaren 1980 tot 1990";"aantal";"1711400"
"2000";"||Totaal";"Bouwjaren 1990 tot 2000";"aantal";"4458532"
"2000";"||Totaal";"Bouwjaren 2000 tot 2010";"aantal";""
"2000";"||Totaal";"Bouwjaren vanaf 2010";"aantal";""
"2000";"0-450 kg";"Totaal alle bouwjaren";"aantal";"1117"
"2000";"0-450 kg";"Bouwjaren tot 1910";"aantal";"3"
"2000";"0-450 kg";"Bouwjaren 1910 tot 1920";"aantal";"2"
"2000";"0-450 kg";"Bouwjaren 1920 tot 1930";"aantal";"8"
"2000";"0-450 kg";"Bouwjaren 1930 tot 1940";"aantal";"19"
"2000";"0-450 kg";"Bouwjaren 1940 tot 1950";"aantal";"10"
"2000";"0-450 kg";"Bouwjaren 1950 tot 1960";"aantal";"94"
"2000";"0-450 kg";"Bouwjaren 1960 tot 1970";"aantal";"171"
"2000";"0-450 kg";"Bouwjaren 1970 tot 1980";"aantal";"339"
"2000";"0-450 kg";"Bouwjaren 1980 tot 1990";"aantal";"85"
